drug_name	ATC_3
benzylpenicillin	S01A
tuberculosis attenuated	J07A
peginesatide	B03X
combination of rauwolfia alkaloids	C02L
diuretics incl. other combinations	C02L
Centella asiatica herba	D03A
gallium (68Ga) gozetotide	V09I
technetium (99mTc) hynic-octreotide	V09I
atorvastatin	C10B
perindopril	C10B
dexfenfluramine	A08A
entacapone	N04B
acenocoumarol	B01A
zanamivir	J05A
acetylcarnitine	N06B
diethyl ether	N01A
vinpocetine	N06B
beclometasone	A07E
salmeterol	R03A
rivastigmine	N06D
resorcinol	D10A
tyloxapol	R05C
levofloxacin	S01A
pyrithione zinc	D11A
cilazapril	C09A
sodium phosphate	A06A
zoster attenuated	J07B
dexamethasone	R01A
magnesium levulinate	A12C
senna glycosides	A06A
levonadifloxacin	J01M
iopamidol	V08A
rosuvastatin	C10B
valsartan	C10B
ciprofloxacin	S02A
mometasone	R01A
niceritrol	C10A
pentetrazol	R07A
fludrocortisone	S01C
antiinfectives	S01C
dihydrocodeine	N02A
tilbroquinol	P01A
venetoclax	L01X
carisoprodol excl. psycholeptics	M03B
flurazepam	N05C
cyproterone	G03H
estrogen	G03H
sulfaphenazole	J01E
tropatepine	N04A
sodium iopodate	V08A
carbuterol	R03C
potassium lactate	B05X
sorbitol	A06A
clopenthixol	N05A
pentaerithrityl tetranitrate	C01D
molsidomine	C01D
nitrofurantoin	J01X
sacrosidase	A16A
oxyphenisatine	A06A
caffeine	V04C
sodium benzoate	V04C
omoconazole	D01A
natamycin	A07A
epacadostat	L01X
tiropramide	A03A
other meningococcal monovalent purified polysaccharides antigen	J07A
bimatoprost	S01E
dinutuximab beta	L01F
potassium chloride	A12B
hydromorphone	N02A
naloxone	N02A
dexchlorpheniramine	R06A
riboflavin (vit B2)	A11H
masoprocol	L01X
dapsone	J04B
samarium (153Sm) lexidronam	V10B
ketazolam	N05B
propranolol	C07F
other combinations	C07F
seratrodast	R03D
dihydrocodeine	N02A
acetylsalicylic acid	N02A
tropicamide	S01F
opinercept	L04A
diphtheria-haemophilus influenzae B-pertussis-poliomyelitis-tetanus	J07C
sodium fluoride	A01A
isoaminile	R05D
emepronium	N05C
chloroprocaine	N01B
meclocycline	D10A
tucatinib	L01E
dexrabeprazole	A02B
norgestrienone	G03A
camphora	C01E
hydrocortisone	S01B
interferon beta-1a	L03A
saruplase	B01A
antiinfectives	S03A
selenium (75Se) tauroselcholic acid	V09D
dengue virus vaccines	J07B
propiomazine	N05C
diphemanil	A03A
sulfanilamide	J01E
atenolol	C07F
nifedipine	C07F
tizanidine	M03B
doxefazepam	N05C
calcium dobesilate	C05B
probucol	C10A
oblimersen	L01X
aminobenzoate potassium	D11A
voretigene neparvovec	S01X
glafenine	N02B
Hederae helicis folium	R05C
encorafenib	L01E
chloralodol	N05C
mecobalamin	B03B
propatylnitrate	C01D
buspirone	N05B
folic acid	B03B
vardenafil	G04B
magnesium oxide	A02A
proxyphylline	R03D
adrenergics	R03D
calcium chloride	A12A
cerliponase alfa	A16A
epimestrol	G03G
metandienone	D11A
valganciclovir	J05A
pefloxacin	J01M
erdafitinib	L01E
ocriplasmin	S01X
alpelisib	L01E
lanadelumab	B06A
eletriptan	N02C
sorafenib	L01E
pixantrone	L01D
sultiame	N03A
azidamfenicol	S01A
erbium (169Er) citrate colloid	V10A
indium (111In) oxinate labelled cells	V09H
levonorgestrel	G03F
estrogen	G03F
enisamium iodide	J05A
technetium (99mTc) antigranulocyte antibody	V09H
idoxuridine	S01A
sodium iodide (124I)	V09F
opium derivatives	R05F
mucolytics	R05F
lamivudine	J05A
raltegravir	J05A
dixyrazine	N05A
isothipendyl	D04A
isatuximab	L01F
lisuride	N02C
pepsin	A09A
encephalitis virus	J07B
cabotegravir	J05A
azanidazole	P01A
mephenoxalone	N05B
hemoglobin crosfumaril	B05A
flurbiprofen	R02A
fluocinolone acetonide	S02C
antiinfectives	S02C
eszopiclone	N05C
metoprolol	C07B
thiazides	C07B
Hyperici herba	N06A
nitrous oxide	N01A
aluminium acetotartrate	S02A
gramicidin	R02A
indium (111In) pentetreotide	V09I
minoxidil	D11A
maralixibat chloride	A05A
selpercatinib	L01E
hepatitis A immunoglobulin	J06B
isocarboxazid	N06A
oxytetracycline	S01A
ketorolac	S01B
trimetrexate	P01A
ozenoxacin	D06A
ammonium chloride	B05X
trolamine	D03A
cefonicid	J01D
sulfamerazine	J01E
trimethoprim	J01E
aspoxicillin	J01C
rolapitant	A04A
poliomyelitis virus	J07B
itramin tosilate	C01D
progabide	N03A
glucose	C05B
rosuvastatin	C10B
acetylsalicylic acid	C10B
diflorasone	D07A
bufylline	R03D
methylphenobarbital	N03A
fludeoxyglucose (18F)	V09I
everolimus	L04A
dimetofrine	C01C
tazarotene	D05A
ulobetasol	D05A
pseudoephedrine	R01B
pimecrolimus	D11A
tipepidine	R05D
prednisolone	D07C
antibiotics	D07C
tenofovir alafenamide	J05A
meldonium	C01E
etafenone	C01D
pyritinol	N06B
hypromellose	S01K
almagate	A02A
theobromine	R03D
mercuric amidochloride	D08A
levetiracetam	N03A
brentuximab vedotin	L01F
strontium (89Sr) chloride	V10B
prucalopride	A06A
pitolisant	N07X
fluocortolone	S01C
antiinfectives	S01C
danaparoid	B01A
hydroxyethylpromethazine	R06A
tocopherol	A11H
brucella antigen	J07A
other plasma protein fractions	B05A
clascoterone	D10A
betamethasone	S03C
antiinfectives	S03C
urofollitropin	G03G
thallium (201Tl) chloride	V09G
macrogol	A06A
mepartricin	G01A
abrocitinib	D11A
cadmium compounds	D11A
dimemorfan	R05D
doxepin	N06A
gliclazide	A10B
selegiline	N04B
clotiazepam	N05B
glutamic acid hydrochloride	A09A
tebipenem pivoxil	J01D
yellow fever attenuated	J07B
trofosfamide	L01A
dihydroergotamine	N02C
butobarbital	N05C
lamivudine disoproxil	J05A
dolutegravir	J05A
verteporfin	S01L
ceritinib	L01E
tixagevimab	J06B
cilgavimab	J06B
durvalumab	L01F
mesuximide	N03A
hydrocortisone	S02B
indigo carmine	V04C
dihydroxialumini sodium carbonate	A02A
bevacizumab	L01F
crospovidone	A07B
pranlukast	R03D
betamethasone	S02B
amphotericin B	A01A
olmesartan medoxomil	C09D
hydrochlorothiazide	C09D
nevirapine	J05A
pravastatin	C10B
fenofibrate	C10B
interferon	S01A
nalidixic acid	J01M
chloral hydrate	N05C
codeine	N02A
paracetamol	N02A
econazole	G01A
emtricitabine disoproxil	J05A
efavirenz	J05A
dextrothyroxine	C10A
eptinezumab	N02C
dihydrostreptomycin	S01A
cromoglicic acid	R03B
ambrisentan	C02K
tadalafil	C02K
propyphenazone	N02B
vidarabine	J05A
miconazole	J02A
proquazone	M01A
idebenone	N06B
desogestrel	G03F
estrogen	G03F
isavuconazole	J02A
obinutuzumab	L01F
furosemide	C03C
potassium	C03C
nandrolone	S01X
rifamycin	A07A
betamethasone	H02A
bumetanide	C03E
potassium-sparing agents	C03E
crofelemer	A07X
oxyphencyclimine	A03A
metoprolol	C07F
ivabradine	C07F
propantheline	A03A
indocyanine green	V04C
diphemanil	A03C
psycholeptics	A03C
sotalol	C07A
prednisolone	S03B
carbamide	D02A
typhus exanthematicus cell	J07A
metronidazole	J01X
combination drugs used in erectile dysfunction	G04B
isosorbide mononitrate	C01D
potassium iodide	R05C
flupirtine	N02B
fosinopril	C09A
mepivacaine	N01B
cinchocaine	S02D
oxymetazoline	D11A
codeine excl. psycholeptics	N02A
amlodipine	C08G
diuretics	C08G
Insulins	A10A
analogs for injection-acting combinations	A10A
oportuzumab monatox	L01F
streptomycin	J04A
isoniazid	J04A
dicycloverine	A03A
miconazole	A01A
esomeprazole	A02B
clarithromycin	A02B
hydrocortisone	S01B
mydriatics	S01B
rifampicin	J04A
isoniazid	J04A
dabigatran etexilate	B01A
nicotinic acid	C10A
nicotine	N07B
phenylephrine	S01F
ketorolac	S01F
diphenhydramine	R06A
tagraxofusp	L01X
diphtheria-hepatitis B-pertussis-tetanus	J07C
granisetron	A04A
prasterone	A14A
quinupramine	N06A
metipranolol	C07B
thiazides	C07B
potassium clorazepate	N05B
stepronin	R05C
pyrimethamine	P01B
melatonin	N05C
cinolazepam	N05C
myristyl-benzalkonium	R02A
domiphen	A01A
amlodipine	C08C
celecoxib	C08C
gefarnate	A02B
fluocortolone	C05A
efavirenz	J05A
floctafenine	N02B
calcium glubionate	A12A
acetylglycinamide chloral hydrate	N05C
sumatriptan	N02C
cefmenoxime	J01D
ferric oxide polymaltose complexes	B03A
cilansetron	A03A
tiadenol	C10A
ascorbic acid	A11G
cough suppressants	R05F
expectorants	R05F
lansoprazole	A02B
metronidazole	A02B
reserpine	C02L
diuretics with psycholeptics	C02L
isosorbide dinitrate	C01D
otilonium bromide	A03C
psycholeptics	A03C
magaldrate	A02A
antiflatulents	A02A
pemigatinib	L01E
magnesium peroxide	A02A
calcium glycerylphosphate	A12A
antibiotics in combination with other drugs	S01A
pazopanib	L01E
felbinac	M02A
imiquimod	D06B
methocarbamol with psycholeptics	M03B
indium (111In) tropolonate labelled cells	V09H
bupranolol	C07A
medroxyprogesterone	G03F
estrogen	G03F
berotralstat	B06A
formoterol	R03A
tiotropium bromide	R03A
bismuth subcitrate	A02B
metronidazole	A02B
cyclopenthiazide	C03A
amlexanox	R03D
ivacaftor	R07A
lumacaftor	R07A
levodopa	N04B
ethylmorphine	R05D
roflumilast	R03D
benzoyl peroxide	D10A
dimercaprol	V03A
diphtheria-poliomyelitis-tetanus	J07C
padeliporfin	L01X
azithromycin	S01A
dexmethylphenidate	N06B
enalapril	C09B
nitrendipine	C09B
pomalidomide	L04A
indometacin	C01E
dipiperonylaminoethanol	N05C
diphtheria-hepatitis B-tetanus	J07C
sodium monofluorophosphate	A01A
ticarcillin	J01C
beta-lactamase inhibitor	J01C
methaqualone	N05C
triclofos	N05C
methazolamide	S01E
sulfathiazole	J01E
(2-benzhydryloxyethyl)diethyl-methylammonium iodide	A03A
lamivudine	J05A
abacavir	J05A
cortisone	S01B
ancrod	B01A
prednisolone	S02B
clobetasol	D07C
antibiotics	D07C
oxycinchophen	M01C
darunavir	J05A
orlistat	A08A
permethrin	P03A
immunoglobulins human intravascular adm.	J06B
atorvastatin acid	C10B
ramipril	C10B
octenidine	R02A
tenonitrozole	P01A
sargramostim	L03A
gusperimus	L04A
thiocolchicoside	M03B
nialamide	N06A
mineral salts in combination	A06A
vancomycin	J01X
pheneticillin	J01C
teneligliptin	A10B
tiemonium iodide	A03D
analgesics	A03D
naftifine	D01A
aluminium chloride	D10A
tiazotic acid	C01E
dexamethasone	S03C
antiinfectives	S03C
piracetam	N06B
doxofylline	R03D
fluorodopa (18F)	V09I
cefditoren	J01D
zinc acetate	A16A
emtricitabine alafenamide	J05A
cobicistat	J05A
betamethasone	S01C
antiinfectives	S01C
hydrotalcite	A02A
zonisamide	N03A
rabies virus	J07B
morclofone	R05D
cromoglicic acid	D11A
krypton (81mKr) gas	V09E
fluorocarbon blood substitutes	B05A
flupentixol	N05A
tegaserod	A06A
typhoid with paratyphi types	J07A
halothane	N01A
mannitol	A06A
ferrous sulfate	B03A
technetium (99mTc) butedronic acid	V09B
prednimustine	L01A
ponesimod	L04A
dextromethorphan	N07X
acetyldihydrocodeine	R05D
azapetine	C04A
morphine	N02A
aducanumab	N06D
beraprost	B01A
iocetamic acid	V08A
barbital	N05C
floxuridine	L01B
methylcellulose	A06A
ferric oxide polymaltose complexes	B03A
chlormezanone excl. psycholeptics	M03B
norethisterone	G03A
ethinylestradiol	G03A
hemoglobin raffimer	B05A
trastuzumab	L01F
broxyquinoline	A07A
niperotidine	A02B
rasagiline	N04B
povidone-iodine	D09A
ulinastatin	B02A
cloxazolam	N05B
methylnaltrexone bromide	A06A
etofamide	P01A
betaine hydrochloride	A09A
encephalitis attenuated	J07B
propenidazole	P01A
dithranol	D05A
acetylcysteine	R05C
buprenorphine	N07B
apronal	N05C
odevixibat	A05A
pralsetinib	L01E
dexamethasone	S02C
antiinfectives	S02C
norgestimate	G03A
ethinylestradiol	G03A
dexmedetomidine	N05C
vortioxetine	N06A
retinol	D10A
eravacycline	J01A
gamolenic acid	D11A
tiratricol	D11A
neomycin	B05C
encephalitis borne immunoglobulin	J06B
prenylamine	C01D
miconazole	A07A
mibefradil	C08C
syrosingopine	C02L
diuretics	C02L
magnesium sulfate	B05X
arimoclomol	N07X
chloramphenicol	J01B
trimegestone	G03F
estrogen	G03F
oteseconazole	J02A
bermekimab	L01F
tioxolone	D10A
rosuvastatin	C10B
ramipril	C10B
melevodopa	N04B
decarboxylase inhibitor	N04B
mivacurium chloride	M03A
ioxitalamic acid	V08A
otilonium bromide	A03A
norethisterone	G03F
estrogen	G03F
perindopril	C09A
prolintane	N06B
tinidazole	J01X
cough suppressants	R05F
mucolytics	R05F
dexpanthenol	S01X
isoniazid	J04A
ruxolitinib	L01E
calcium alginate	B02B
lansoprazole	A02B
clarithromycin	A02B
etybenzatropine	N04A
folic acid	V04C
rifampicin	J04A
isoniazid	J04A
micafungin	J02A
dihexyverine	A03A
menthae piperitae aetheroleum	A03A
metipranolol	S01E
stanozolol	A14A
rifamycin	J04A
prilocaine	N01B
sodium aurotiosulfate	M01C
nemonoxacin	J01M
ethyl chloride	N01B
sodium nitrite	V03A
prednisolone	S01B
mydriatics	S01B
oseltamivir	J05A
idursulfase beta	A16A
cholic acid	A05A
magnesium carbonate	A02A
bromfenac	S01B
ephedrine	A08A
ramucirumab	L01F
monobenzone	D11A
aluminium acetoacetate	A02A
avelumab	L01F
nitrazepam	N05C
zidovudine	J05A
lamivudine	J05A
desaspidin	P02D
natamycin	S01A
clocortolone	D07A
oxandrolone	A14A
tropisetron	A04A
dihydrocodeine	N02A
paracetamol	N02A
sodium iodide (131I)	V09F
misoprostol	G02A
meloxicam	M01A
orgotein	M01A
rimegepant	N02C
glutamine	A16A
attapulgite	A07B
albumin tannate	A07X
amfetamine	N06B
montelukast	R03D
rimantadine	J05A
organic nitrates in combination	C01D
"papillomavirus (human types 6, 11, 16, 18)"	J07B
flumedroxone	N02C
trastuzumab duocarmazine	L01F
ranolazine	C01E
Food allergenic extracts	V01A
combinations of different antibiotics	S01A
gilteritinib	L01E
chlortetracycline	J01A
tirilazad	N07X
phenoperidine	N01A
cefotetan	J01D
formocortal	S01B
opium derivatives	R05F
expectorants	R05F
fluoxetine	N06C
psycholeptics	N06C
dexpanthenol	D03A
orphenadrine	M03B
sulglicotide	A02B
pepsin	A09A
acid preparations	A09A
fibrinolysin	B06A
desoxyribonuclease	B06A
influenza virus or surface antigen	J07B
tiotropium bromide	R03B
artesunate	P01B
pyrimethamine	P01B
diphtheria-haemophilus influenzae B-pertussis-tetanus-hepatitis B	J07C
iodine (125I) CC49-monoclonal antibody	V09I
dextropropoxyphene	N02A
prazepam	N05B
sulpiride	N05A
combinations of rauwolfia alkoloids	C02A
naratriptan	N02C
carbasalate calcium	N02B
vonoprazan	A02B
vilanterol	R03A
fluticasone furoate	R03A
physostigmine	V03A
tretinoin	D10A
terizidone	J04A
azlocillin	J01C
chlorobutanol	A04A
cariprazine	N05A
diphenhydramine	D04A
ornithine oxoglurate	A05B
trovafloxacin	J01M
oritavancin	J01X
ketamine	N01A
salicylic acid	D01A
garenoxacin	J01M
oxacillin	J01C
lactic acid producing organisms	A07F
dienogest	G03A
estradiol	G03A
mercury compounds	S01A
eribulin	L01X
lamivudine	J05A
tenofovir disoproxil	J05A
avapritinib	L01E
ethotoin	N03A
mandelic acid	J01X
hydroxyethylstarch	B05A
betamethasone	S01C
cholera cell	J07A
faldaprevir	J05A
chondroitin sulfate	M01A
evolocumab	C10A
metizoline	R01A
epoprostenol	B01A
various antiseptic throat preparations	R02A
meclozine	R06A
acetylleucine	N07C
cimetropium bromide	A03B
clomethiazole	N05C
theophylline	R03D
adrenergics	R03D
oxaflozane	N06A
carbachol	S01E
buflomedil	C04A
zalcitabine	J05A
Other irrigating solution combinations in ATC	B05C
tetramethrin	P03B
procaine	C05A
naproxen	M01A
misoprostol	M01A
insulin (pork)	A10A
dipyrocetyl excl. psycholeptics	N02B
meropenem	J01D
ispaghula (psylla seeds)	A06A
atazanavir	J05A
ritonavir	J05A
plecanatide	A06A
chymotrypsin	B06A
ferrous fumarate	B03A
almasilate	A02A
pipazetate	R05D
dexamethasone	S01C
diflunisal	N02B
oxytetracycline	J01A
ibritumomab tiuxetan (90Y)	V10X
cepeginterferon alfa-2b	L03A
valnoctamide	N05C
estrone	G03C
prednisolone	S02C
antiinfectives	S02C
norethisterone	G03A
ethinylestradiol	G03A
sulfametrole	J01E
trimethoprim	J01E
norgestrel	G03A
ethinylestradiol	G03A
propyliodone	V08A
zotepine	N05A
ferrous tartrate	B03A
duloxetine	N06A
coagulation factor XIII	B02B
alvimopan	A06A
azilsartan medoxomil	C09D
diuretics	C09D
hydrochloric acid	A09A
artenimol	P01B
Amide local anesthetic combinations	N01B
sarecycline	J01A
calcium gluconate	D11A
mitiglinide	A10B
apraclonidine	S01E
metformin	A10B
gemigliptin	A10B
virginiamycin	D06A
gemifloxacin	J01M
roxatidine	A02B
patisiran	N07X
chlorzoxazone excl. psycholeptics	M03B
adapalene	D10A
indium (111In) imciromab	V09G
valproic acid	N03A
simvastatin	C10B
acetylsalicylic acid	C10B
clofenotane	P03A
nafcillin	J01C
pertussis cell	J07A
selenium compounds	D11A
potassium phosphate. combinations with other potassium salts	B05X
morphine	N02A
antispasmodics	N02A
other cough suppressant combinations in ATC	R05D
mephenytoin	N03A
atropine	A03B
almitrine	R07A
oxyfedrine	C01D
elbasvir	J05A
dehydroemetine	P01A
felbamate	N03A
colestilan	V03A
mepyramine theophyllinacetate	R03D
foscarnet	J05A
propiverine	G04B
glecaprevir	J05A
pibrentasvir	J05A
miglustat	A16A
glycerol	A06A
enoxaparin	B01A
indium (111In) satumomab pendetide	V09I
cefcapene	J01D
collagenase	D03B
poliomyelitis oral attenuated	J07B
butenafine	D01A
sotalol	C07B
thiazides	C07B
lactulose	A06A
bacampicillin	J01C
cefotiam	J01D
chloramphenicol	G01A
esketamine	N01A
quassia	P03A
technetium (99mTc) exametazime	V09A
carteolol	S01E
lurbinectedin	L01X
metandienone	A14A
diazepam	N05B
peramivir	J05A
beclamide	N03A
obeticholic acid	A05A
dyclonine	N01B
betamethasone	S03B
ofloxacin	S01A
clemastine	R06A
avatrombopag	B02B
broxyquinoline	P01A
glycopyrronium	D11A
aloglutamol	A02A
polymyxin B	S02A
pipenzolate	A03C
psycholeptics	A03C
sacituzumab govitecan	L01F
atorvastatin acid	C10B
perindopril	C10B
erenumab	N02C
iron	B03A
minerals	B03A
dipyrocetyl with psycholeptics	N02B
roxithromycin	J01F
homatropine methylbromide	A03C
psycholeptics	A03C
eculizumab	L04A
fluconazole	J02A
potassium acetate	B05X
leuprorelin	L02A
bicalutamide	L02A
imiglucerase	A16A
iodine (131I) human albumin	V09X
quinidine excl. psycholeptics	C01B
mercaptamine	A16A
nalbuphine	N02A
ascorbic acid	A11G
calcium	A11G
ceratonia	A07X
clofarabine	L01B
ioglicic acid	V08A
